Timestamp,HRCH_1_CondPressure(psi)
04-May-22 12:45 AM EDT,96
04-May-22 1:00 AM EDT,104
04-May-22 1:15 AM EDT,99
04-May-22 1:30 AM EDT,108
04-May-22 1:45 AM EDT,101
04-May-22 2:00 AM EDT,105
04-May-22 2:15 AM EDT,84
04-May-22 2:30 AM EDT,90
04-May-22 2:45 AM EDT,82
04-May-22 3:00 AM EDT,95
04-May-22 3:15 AM EDT,85
04-May-22 3:30 AM EDT,93
04-May-22 3:45 AM EDT,95
04-May-22 4:00 AM EDT,98
04-May-22 4:15 AM EDT,94
04-May-22 4:30 AM EDT,96
04-May-22 4:45 AM EDT,86
04-May-22 5:00 AM EDT,95
04-May-22 5:15 AM EDT,92
04-May-22 5:30 AM EDT,95
04-May-22 5:45 AM EDT,92
04-May-22 6:00 AM EDT,94
04-May-22 6:15 AM EDT,98
04-May-22 6:30 AM EDT,127
04-May-22 6:45 AM EDT,114
04-May-22 7:00 AM EDT,124
04-May-22 7:15 AM EDT,114
04-May-22 7:30 AM EDT,120
04-May-22 7:45 AM EDT,117
04-May-22 8:00 AM EDT,127
04-May-22 8:15 AM EDT,126
04-May-22 8:30 AM EDT,130
04-May-22 8:45 AM EDT,126
04-May-22 9:00 AM EDT,137
04-May-22 9:15 AM EDT,138
04-May-22 9:30 AM EDT,197
04-May-22 9:45 AM EDT,207
04-May-22 10:00 AM EDT,207
04-May-22 10:15 AM EDT,214
04-May-22 10:30 AM EDT,180
04-May-22 10:45 AM EDT,202
04-May-22 11:00 AM EDT,160
04-May-22 11:15 AM EDT,102
04-May-22 11:30 AM EDT,66
04-May-22 11:45 AM EDT,39
04-May-22 12:00 PM EDT,38
04-May-22 12:15 PM EDT,39
04-May-22 12:30 PM EDT,39
04-May-22 12:45 PM EDT,45
04-May-22 1:00 PM EDT,46
04-May-22 1:15 PM EDT,47
04-May-22 1:30 PM EDT,48
04-May-22 1:45 PM EDT,49
04-May-22 2:00 PM EDT,49
04-May-22 2:15 PM EDT,50
04-May-22 2:30 PM EDT,51
04-May-22 2:45 PM EDT,52
04-May-22 3:00 PM EDT,52
04-May-22 3:15 PM EDT,53
04-May-22 3:30 PM EDT,54
04-May-22 3:45 PM EDT,54
04-May-22 4:00 PM EDT,55
04-May-22 4:15 PM EDT,56
04-May-22 4:30 PM EDT,57
04-May-22 4:45 PM EDT,58
04-May-22 5:00 PM EDT,58
04-May-22 5:15 PM EDT,59
04-May-22 5:30 PM EDT,59
04-May-22 5:45 PM EDT,60
04-May-22 6:00 PM EDT,60
04-May-22 6:15 PM EDT,60
04-May-22 6:30 PM EDT,61
04-May-22 6:45 PM EDT,61
04-May-22 7:00 PM EDT,61
04-May-22 7:15 PM EDT,62
04-May-22 7:30 PM EDT,62
04-May-22 7:45 PM EDT,62
04-May-22 8:00 PM EDT,63
04-May-22 8:15 PM EDT,63
04-May-22 8:30 PM EDT,64
04-May-22 8:45 PM EDT,64
04-May-22 9:00 PM EDT,64
04-May-22 9:15 PM EDT,65
04-May-22 9:30 PM EDT,65
04-May-22 9:45 PM EDT,66
04-May-22 10:00 PM EDT,66
04-May-22 10:15 PM EDT,66
04-May-22 10:30 PM EDT,66
04-May-22 10:45 PM EDT,66
04-May-22 11:00 PM EDT,180
04-May-22 11:15 PM EDT,152
04-May-22 11:30 PM EDT,219
04-May-22 11:45 PM EDT,173
05-May-22 12:00 AM EDT,95
05-May-22 12:15 AM EDT,45
05-May-22 12:30 AM EDT,47
05-May-22 12:45 AM EDT,50
05-May-22 1:00 AM EDT,52
05-May-22 1:15 AM EDT,54
05-May-22 1:30 AM EDT,56
05-May-22 1:45 AM EDT,58
05-May-22 2:00 AM EDT,59
05-May-22 2:15 AM EDT,60
05-May-22 2:30 AM EDT,61
05-May-22 2:45 AM EDT,62
05-May-22 3:00 AM EDT,63
05-May-22 3:15 AM EDT,64
05-May-22 3:30 AM EDT,64
05-May-22 3:45 AM EDT,65
05-May-22 4:00 AM EDT,66
05-May-22 4:15 AM EDT,67
05-May-22 4:30 AM EDT,67
05-May-22 4:45 AM EDT,68
05-May-22 5:00 AM EDT,68
05-May-22 5:15 AM EDT,69
05-May-22 5:30 AM EDT,69
05-May-22 5:45 AM EDT,70
05-May-22 6:00 AM EDT,70
05-May-22 6:15 AM EDT,70
05-May-22 6:30 AM EDT,71
05-May-22 6:45 AM EDT,71
05-May-22 7:00 AM EDT,71
05-May-22 7:15 AM EDT,71
05-May-22 7:30 AM EDT,72
05-May-22 7:45 AM EDT,72
05-May-22 8:00 AM EDT,72
05-May-22 8:15 AM EDT,73
05-May-22 8:30 AM EDT,73
05-May-22 8:45 AM EDT,73
05-May-22 9:00 AM EDT,73
05-May-22 9:15 AM EDT,74
05-May-22 9:30 AM EDT,75
05-May-22 9:45 AM EDT,75
05-May-22 10:00 AM EDT,75
05-May-22 10:15 AM EDT,75
05-May-22 10:30 AM EDT,75
05-May-22 10:45 AM EDT,76
05-May-22 11:00 AM EDT,76
05-May-22 11:15 AM EDT,76
05-May-22 11:30 AM EDT,76
05-May-22 11:45 AM EDT,76
05-May-22 12:00 PM EDT,77
05-May-22 12:15 PM EDT,77
05-May-22 12:30 PM EDT,77
05-May-22 12:45 PM EDT,77
05-May-22 1:00 PM EDT,77
05-May-22 1:15 PM EDT,77
05-May-22 1:30 PM EDT,77
05-May-22 1:45 PM EDT,78
05-May-22 2:00 PM EDT,78
05-May-22 2:15 PM EDT,78
05-May-22 2:30 PM EDT,78
05-May-22 2:45 PM EDT,78
05-May-22 3:00 PM EDT,78
05-May-22 3:15 PM EDT,79
05-May-22 3:30 PM EDT,79
05-May-22 3:45 PM EDT,79
05-May-22 4:00 PM EDT,79
05-May-22 4:15 PM EDT,79
05-May-22 4:30 PM EDT,79
05-May-22 4:45 PM EDT,79
05-May-22 5:00 PM EDT,79
05-May-22 5:15 PM EDT,79
05-May-22 5:30 PM EDT,80
05-May-22 5:45 PM EDT,80
05-May-22 6:00 PM EDT,80
05-May-22 6:15 PM EDT,80
05-May-22 6:30 PM EDT,80
05-May-22 6:45 PM EDT,80
05-May-22 7:00 PM EDT,80
05-May-22 7:15 PM EDT,80
05-May-22 7:30 PM EDT,80
05-May-22 7:45 PM EDT,80
05-May-22 8:00 PM EDT,80
05-May-22 8:15 PM EDT,80
05-May-22 8:30 PM EDT,80
05-May-22 8:45 PM EDT,80
05-May-22 9:00 PM EDT,81
05-May-22 9:15 PM EDT,81
05-May-22 9:30 PM EDT,81
05-May-22 9:45 PM EDT,81
05-May-22 10:00 PM EDT,81
05-May-22 10:15 PM EDT,81
05-May-22 10:30 PM EDT,81
05-May-22 10:45 PM EDT,81
05-May-22 11:00 PM EDT,81
05-May-22 11:15 PM EDT,81
05-May-22 11:30 PM EDT,81
05-May-22 11:45 PM EDT,81
06-May-22 12:00 AM EDT,81
06-May-22 12:15 AM EDT,81
06-May-22 12:30 AM EDT,81
06-May-22 12:45 AM EDT,81
06-May-22 1:00 AM EDT,81
06-May-22 1:15 AM EDT,81
06-May-22 1:30 AM EDT,81
06-May-22 1:45 AM EDT,81
06-May-22 2:00 AM EDT,81
06-May-22 2:15 AM EDT,81
06-May-22 2:30 AM EDT,81
06-May-22 2:45 AM EDT,81
06-May-22 3:00 AM EDT,82
06-May-22 3:15 AM EDT,82
06-May-22 3:30 AM EDT,82
06-May-22 3:45 AM EDT,82
06-May-22 4:00 AM EDT,82
06-May-22 4:15 AM EDT,82
06-May-22 4:30 AM EDT,82
06-May-22 4:45 AM EDT,82
06-May-22 5:00 AM EDT,82
06-May-22 5:15 AM EDT,82
06-May-22 5:30 AM EDT,82
06-May-22 5:45 AM EDT,82
06-May-22 6:00 AM EDT,82
06-May-22 6:15 AM EDT,82
06-May-22 6:30 AM EDT,82
06-May-22 6:45 AM EDT,82
06-May-22 7:00 AM EDT,82
06-May-22 7:15 AM EDT,82
06-May-22 7:30 AM EDT,82
06-May-22 7:45 AM EDT,81
06-May-22 8:00 AM EDT,81
06-May-22 8:15 AM EDT,81
06-May-22 8:30 AM EDT,81
06-May-22 8:45 AM EDT,81
06-May-22 9:00 AM EDT,81
06-May-22 9:15 AM EDT,81
06-May-22 9:30 AM EDT,81
06-May-22 9:45 AM EDT,81
06-May-22 10:00 AM EDT,81
06-May-22 10:15 AM EDT,81
06-May-22 10:30 AM EDT,81
06-May-22 10:45 AM EDT,81
06-May-22 11:00 AM EDT,81
06-May-22 11:15 AM EDT,81
06-May-22 11:30 AM EDT,81
