,KBtuh_Heating,KBTUh_Cooling,OA_Temp
2021-02-11 20:45:00-05:00,24716.10508,4913.398977,28.08
2021-02-11 22:15:00-05:00,24853.16224,4838.240699,25.99
2021-02-11 22:30:00-05:00,25069.87307,4116.575628,25.99
2021-02-11 22:45:00-05:00,24362.49311,6362.967555,25.05
2021-02-11 23:15:00-05:00,25920.92256,7040.26571,25.05
2021-02-11 23:30:00-05:00,24133.26418,6369.77925,24.03
2021-02-12 00:15:00-05:00,25691.26558,6295.622222,23.27
2021-02-12 01:15:00-05:00,26654.58612,6119.615579,23.27
2021-02-12 02:00:00-05:00,26239.64093,5392.999751,22.03
2021-02-12 02:15:00-05:00,26758.15686,5329.846669,21.11
2021-02-12 04:00:00-05:00,27334.01563,5156.73459,18.66
2021-02-12 04:15:00-05:00,27873.94458,5020.284867,18.66
2021-02-12 05:30:00-05:00,28635.90341,5431.3416,18
2021-02-12 05:45:00-05:00,30512.19084,5671.04571,17.33
2021-02-12 06:00:00-05:00,30775.07318,6047.50914,17.33
2021-02-12 06:15:00-05:00,30597.893,6613.769836,16.66
2021-02-12 07:30:00-05:00,29666.56203,6514.380989,16.66
2021-02-12 07:45:00-05:00,30916.86072,7593.0696,17.33
2021-02-12 08:00:00-05:00,30087.89508,7326.2313,18.88
2021-02-12 08:15:00-05:00,30403.85954,6865.66314,20.68
2021-02-12 08:30:00-05:00,29784.86935,6766.812122,24.3
2021-02-12 09:00:00-05:00,29834.99171,6971.141205,28.6
2021-02-12 09:15:00-05:00,28980.09039,6877.655676,28.6
2021-02-12 09:30:00-05:00,30495.99264,6918.414958,30.13
2021-02-12 09:45:00-05:00,28834.94752,7052.659768,29.12
2021-02-12 10:15:00-05:00,29751.81207,6715.712025,30.65
2021-02-12 10:30:00-05:00,29005.06921,6877.655676,32.86
2021-02-12 10:45:00-05:00,29431.88048,4552.219064,34.09
2021-02-12 11:00:00-05:00,27642.74777,4481.399904,34.09
2021-02-12 11:15:00-05:00,28274.09479,4885.003079,36.01
2021-02-12 11:30:00-05:00,26997.77536,4445.901678,34.83
2021-02-12 12:30:00-05:00,26470.89299,4366.20267,36.73
2021-02-12 12:45:00-05:00,26210.72182,4300.769115,38.16
2021-02-12 13:15:00-05:00,25283.67317,4885.003079,36.27
2021-02-12 14:15:00-05:00,25318.08688,5638.136103,33.6
2021-02-12 14:30:00-05:00,24882.05823,5201.658,34.34
2021-02-12 16:00:00-05:00,24863.31425,6237.144427,32.86
2021-02-12 16:15:00-05:00,25520.09636,6572.519713,32.86
2021-02-12 17:30:00-05:00,24508.82238,3593.8728,32.13
2021-02-12 17:45:00-05:00,25701.62897,6178.560097,30.9
2021-02-12 18:00:00-05:00,25046.11267,9087.747587,30.4
2021-02-12 18:30:00-05:00,24915.23475,5433.85581,30.4
2021-02-12 18:45:00-05:00,25778.38722,4662.20178,31.15
2021-02-12 19:00:00-05:00,25530.97145,4315.01175,31.15
2021-02-12 19:15:00-05:00,25761.45509,3864.0888,30.65
2021-02-12 19:30:00-05:00,26245.18256,4086.715759,30.13
2021-02-12 20:30:00-05:00,25535.39599,4053.24,30.13
2021-02-12 20:45:00-05:00,24646.59471,4077.169128,29.37
2021-02-12 21:00:00-05:00,24357.19718,3840.46952,29.37
2021-02-12 21:15:00-05:00,25678.32104,5362.516084,28.85
2021-02-12 22:30:00-05:00,25808.41423,3506.72814,27.82
2021-02-12 22:45:00-05:00,25021.0015,3622.57054,28.35
2021-02-12 23:45:00-05:00,24920.64358,6890.415826,28.35
2021-02-13 00:00:00-05:00,25177.54143,6428.672077,27.82
2021-02-13 03:15:00-05:00,25526.94573,5884.85412,25.77
2021-02-13 05:00:00-05:00,26474.62977,5880.476421,24.3
2021-02-13 05:15:00-05:00,27222.20836,5794.44435,24.3
2021-02-13 05:30:00-05:00,27233.19954,4901.64328,23.27
2021-02-13 07:00:00-05:00,28443.91159,5890.7088,22.73
2021-02-13 07:15:00-05:00,27975.10534,5329.846669,23.49
2021-02-13 07:45:00-05:00,28915.75246,6133.9032,23.49
2021-02-13 08:30:00-05:00,28823.99161,7321.809565,30.13
2021-02-13 08:45:00-05:00,27504.48275,6602.80302,28.35
2021-02-13 09:45:00-05:00,27609.55849,6261.58026,30.13
2021-02-13 10:00:00-05:00,28601.06676,6397.713279,32.13
2021-02-13 10:45:00-05:00,28483.7637,6959.148669,33.37
2021-02-13 11:00:00-05:00,26493.4313,6123.939986,32.38
2021-02-13 11:15:00-05:00,26364.3266,7148.48922,33.37
2021-02-13 11:30:00-05:00,25400.31321,4971.9744,34.34
2021-02-13 11:45:00-05:00,27344.00572,3938.300722,34.34
2021-02-13 12:00:00-05:00,27071.42643,4331.262991,35.29
2021-02-13 12:15:00-05:00,25595.11873,3901.65633,34.09
2021-02-13 13:45:00-05:00,24298.82042,4140.504756,36.27
2021-02-13 14:00:00-05:00,24279.5899,4017.512441,35.06
2021-02-13 14:15:00-05:00,25270.90957,4647.513939,35.06
2021-02-13 14:30:00-05:00,24745.79531,4664.968692,33.85
2021-02-13 22:45:00-05:00,24429.75118,4481.916517,31.39
2021-02-13 23:00:00-05:00,24190.02455,3794.47065,31.89
2021-02-14 00:00:00-05:00,25103.22653,4603.758713,32.63
2021-02-14 00:15:00-05:00,23205.30365,4061.691756,32.63
2021-02-14 00:30:00-05:00,23996.20762,3855.032361,31.89
2021-02-14 01:00:00-05:00,24420.2711,3862.9629,32.63
2021-02-14 02:15:00-05:00,23349.14038,6086.541991,33.37
2021-02-14 02:30:00-05:00,23426.85575,4531.774722,32.63
2021-02-14 05:00:00-05:00,23835.11785,5114.499329,32.13
2021-02-14 07:15:00-05:00,24545.43966,4194.560016,32.13
2021-02-14 10:15:00-05:00,24287.75267,4622.504948,35.06
2021-02-14 11:00:00-05:00,22270.65418,8677.3113,37.22
2021-02-14 11:15:00-05:00,23863.76935,5826.19473,38.16
2021-02-14 12:00:00-05:00,22514.43945,4664.968692,39.09
2021-02-14 12:15:00-05:00,23442.22559,6768.100752,39.09
2021-02-14 12:30:00-05:00,22057.21652,7093.393479,40.01
2021-02-14 14:15:00-05:00,20957.5068,6332.689102,38.86
2021-02-14 14:30:00-05:00,21799.70312,7189.052645,38.16
2021-02-14 15:00:00-05:00,22083.86007,6971.270909,37.92
2021-02-14 15:15:00-05:00,21976.65827,7520.44905,37.22
2021-02-14 15:30:00-05:00,21446.5155,7561.65699,36.5
2021-02-15 13:00:00-05:00,22860.22316,5060.662494,35.06
2021-02-15 13:15:00-05:00,23221.22213,3864.0888,35.78
2021-02-15 14:15:00-05:00,22412.4176,4630.0761,34.83
2021-02-15 14:45:00-05:00,22488.17806,8943.490273,33.37
2021-02-15 15:30:00-05:00,22483.07909,4276.262826,33.37
2021-02-15 15:45:00-05:00,23459.05224,4638.3327,32.63
2021-02-15 16:15:00-05:00,23288.29074,4700.534422,32.63
2021-02-15 16:30:00-05:00,23124.22699,5035.944185,32.13
2021-02-15 22:00:00-05:00,23027.23907,2196.111885,32.13
2021-02-15 22:15:00-05:00,22770.71501,6588.899006,32.63
2021-02-15 23:15:00-05:00,21710.32112,8383.233426,33.37
2021-02-15 23:30:00-05:00,22019.98195,7728.387818,33.37
2021-02-15 23:45:00-05:00,22215.85528,4799.434478,34.09
2021-02-16 00:00:00-05:00,22567.77959,5537.439761,35.78
2021-02-16 05:30:00-05:00,19754.62877,5742.09,37.22
2021-02-16 05:45:00-05:00,21021.97614,4688.2476,37.92
2021-02-16 07:30:00-05:00,20957.5068,5584.820935,37.92
2021-02-16 07:45:00-05:00,20773.22069,4655.44638,38.62
2021-02-16 09:00:00-05:00,21582.42274,4133.761616,39.56
2021-02-16 09:15:00-05:00,20037.34957,4407.842205,39.56
2021-02-16 10:00:00-05:00,19975.11432,3242.012187,40.48
2021-02-16 10:15:00-05:00,19623.70877,3305.83005,41.16
2021-02-16 10:30:00-05:00,20608.77804,3574.413495,41.16
2021-02-16 10:45:00-05:00,20522.11617,2576.673291,42.3
2021-02-16 11:15:00-05:00,19372.60179,3687.658569,42.3
2021-02-16 13:00:00-05:00,18986.26837,6180.783074,43.21
2021-02-16 16:00:00-05:00,19673.93016,7933.773795,39.78
2021-02-16 16:15:00-05:00,19007.79463,6455.517786,37.92
2021-02-16 17:15:00-05:00,19941.62375,5470.930846,37.92
2021-02-16 17:30:00-05:00,20564.10353,4737.819626,38.86
2021-02-16 17:45:00-05:00,20685.92831,4294.514866,38.86
2021-02-16 19:30:00-05:00,19148.01757,2272.435946,39.78
2021-02-16 19:45:00-05:00,20544.86115,2088.78249,39.09
2021-02-16 20:00:00-05:00,19412.09016,1455.771086,39.09
2021-02-16 20:15:00-05:00,19210.62742,949.0922168,39.78
2021-02-16 21:00:00-05:00,19690.21258,1059.027044,37.92
2021-02-16 22:15:00-05:00,20099.52627,623.22318,37.22
2021-02-16 22:30:00-05:00,21066.40295,622.1545258,36.27
2021-02-16 22:45:00-05:00,20066.2942,358.4399227,36.27
2021-02-16 23:00:00-05:00,21540.00423,1144.431313,35.29
2021-02-16 23:45:00-05:00,21774.36136,1681.047163,34.34
2021-02-17 00:00:00-05:00,21777.72675,1963.95726,33.12
2021-02-17 00:15:00-05:00,22581.38907,2228.01874,33.12
2021-02-17 00:30:00-05:00,22717.32393,2492.080221,32.13
2021-02-17 01:00:00-05:00,22596.20451,2496.326715,32.13
2021-02-17 01:30:00-05:00,22426.30415,2756.141701,31.39
2021-02-17 01:45:00-05:00,23136.37791,8547.025905,30.65
2021-02-17 02:00:00-05:00,23859.91873,11255.6206,30.65
2021-02-17 02:15:00-05:00,22227.63394,12307.32549,30.13
2021-02-17 02:30:00-05:00,23169.50103,10347.41652,29.62
2021-02-17 04:15:00-05:00,23649.27274,7425.007458,27.82
2021-02-17 04:30:00-05:00,24497.23252,6511.033813,27.3
2021-02-17 05:00:00-05:00,25590.62413,7383.05172,27.3
2021-02-17 05:15:00-05:00,23598.44416,7889.174294,26.78
2021-02-17 05:45:00-05:00,26005.65389,7120.569952,26.78
2021-02-17 06:00:00-05:00,27800.53095,6680.91586,26.24
2021-02-17 07:00:00-05:00,28009.22822,7020.280235,26.24
2021-02-17 07:15:00-05:00,26087.14824,6733.324254,26.78
2021-02-17 08:00:00-05:00,25748.39865,6494.480982,29.37
2021-02-17 08:15:00-05:00,27627.01094,6591.80673,32.13
2021-02-17 08:30:00-05:00,26041.91188,6015.495399,33.37
2021-02-17 08:45:00-05:00,25038.24558,6529.487164,36.01
2021-02-17 09:00:00-05:00,26185.56731,6506.01315,37.22
2021-02-17 09:15:00-05:00,24852.2419,6700.392829,38.39
2021-02-17 09:45:00-05:00,25112.28752,7116.582615,40.01
2021-02-17 10:00:00-05:00,25949.32086,7567.096838,36.5
2021-02-17 10:15:00-05:00,24559.04093,6871.075316,34.83
2021-02-17 10:45:00-05:00,25071.32313,7383.05172,36.5
2021-02-17 11:00:00-05:00,24722.7572,7341.095982,37.45
2021-02-17 11:15:00-05:00,24060.25962,8373.75555,38.16
2021-02-17 11:45:00-05:00,23688.42759,6732.824304,42.08
2021-02-17 12:00:00-05:00,24755.76678,6760.239969,40.71
2021-02-17 12:15:00-05:00,23804.87398,5976.128531,39.78
2021-02-17 13:45:00-05:00,22604.41868,5976.128531,37.92
2021-02-17 14:45:00-05:00,22809.19037,3884.12982,43.66
2021-02-17 15:00:00-05:00,23132.10769,7922.165766,42.75
2021-02-17 15:30:00-05:00,22716.33314,4931.765459,37.69
2021-02-17 15:45:00-05:00,21596.79047,7726.93911,36.5
2021-02-17 16:00:00-05:00,22762.67158,5665.016991,35.55
2021-02-17 17:00:00-05:00,23195.96654,4427.513279,34.57
2021-02-17 17:15:00-05:00,23208.99235,4223.314851,33.85
2021-02-17 18:00:00-05:00,23139.90713,4525.335174,33.12
2021-02-17 20:00:00-05:00,24037.55202,2723.415991,32.38
2021-02-17 20:15:00-05:00,23481.43013,2312.630576,31.39
2021-02-18 00:00:00-05:00,23954.79837,1920.4101,31.39
2021-02-18 00:15:00-05:00,23190.36696,2164.051858,30.65
2021-02-18 04:45:00-05:00,25071.32313,6158.402584,30.13
2021-02-18 05:00:00-05:00,24346.42457,6924.62277,30.13
2021-02-18 05:15:00-05:00,24769.35164,6860.368107,29.62
2021-02-18 06:15:00-05:00,27083.777,7677.81234,29.62
2021-02-18 06:30:00-05:00,28179.41476,7397.870466,28.85
2021-02-18 06:45:00-05:00,27417.82793,7015.643929,28.85
2021-02-18 07:00:00-05:00,25771.604,6202.397101,29.37
2021-02-18 07:15:00-05:00,25569.52327,6154.797202,29.88
2021-02-18 08:00:00-05:00,27144.28937,6990.003082,29.88
2021-02-18 08:15:00-05:00,26412.22049,6202.397101,30.4
2021-02-18 08:30:00-05:00,26051.05218,6225.148838,30.4
2021-02-18 09:00:00-05:00,26203.41958,6189.97302,31.89
2021-02-18 10:00:00-05:00,25680.45314,6910.717905,31.89
2021-02-18 10:15:00-05:00,25032.01861,6132.045465,31.39
2021-02-18 10:30:00-05:00,25730.96732,6548.527634,32.38
2021-02-18 10:45:00-05:00,24446.09324,6757.76439,33.85
2021-02-18 11:15:00-05:00,25437.97912,6707.617705,33.85
2021-02-18 11:30:00-05:00,23816.16946,6065.088092,34.57
2021-02-18 11:45:00-05:00,24327.30679,6298.360711,35.78
2021-02-18 12:00:00-05:00,24830.90034,7135.038518,35.78
2021-02-18 12:15:00-05:00,23334.53401,6971.270909,34.57
2021-02-18 15:45:00-05:00,23423.05652,4116.575628,34.57
2021-02-18 16:00:00-05:00,23448.90413,4418.457841,33.85
2021-02-18 16:45:00-05:00,23129.69396,4752.179355,33.85
2021-02-18 17:00:00-05:00,24698.48279,4552.219064,32.86
2021-02-18 17:15:00-05:00,23610.744,4358.763073,32.86
2021-02-18 17:30:00-05:00,23202.36325,4885.003079,31.89
2021-02-18 18:15:00-05:00,23156.30263,5568.766702,31.89
2021-02-18 18:30:00-05:00,23015.40185,4214.69406,31.39
2021-02-18 19:30:00-05:00,24794.07881,3442.586268,31.39
2021-02-18 19:45:00-05:00,25730.27707,3761.92013,32.13
2021-02-19 00:45:00-05:00,23282.40378,5579.641395,32.63
2021-02-19 03:30:00-05:00,23461.02121,6561.876555,30.9
2021-02-19 03:45:00-05:00,22892.90669,6473.879414,29.88
2021-02-19 04:30:00-05:00,24256.81609,6498.6948,29.37
2021-02-19 04:45:00-05:00,22994.04378,6550.588081,29.37
2021-02-19 05:00:00-05:00,23414.71285,6343.602075,29.88
2021-02-19 06:15:00-05:00,27475.84706,4876.6482,29.88
2021-02-19 06:30:00-05:00,27444.95011,3973.761918,30.4
2021-02-19 06:45:00-05:00,26415.77913,5004.686649,30.9
2021-02-19 08:15:00-05:00,25564.69841,4638.008541,30.9
2021-02-19 10:15:00-05:00,25509.49618,3667.738245,31.64
2021-02-19 10:30:00-05:00,24382.76252,3229.458402,32.38
2021-02-19 11:00:00-05:00,23851.32321,2861.920606,32.38
2021-02-19 13:15:00-05:00,24379.95137,1562.648419,33.12
2021-02-19 13:30:00-05:00,25217.85276,1829.41251,32.38
2021-02-19 20:00:00-05:00,24063.53419,6682.574436,31.39
2021-02-19 20:15:00-05:00,24420.2711,6448.769342,30.65
2021-02-19 21:15:00-05:00,24440.4124,6435.579898,30.65
2021-02-19 21:30:00-05:00,24098.20966,6627.519878,30.13
2021-02-20 01:30:00-05:00,23092.834,6959.148669,29.62
2021-02-20 01:45:00-05:00,24551.57786,6539.323727,29.12
2021-02-20 05:45:00-05:00,26145.645,3993.996893,29.62
2021-02-20 06:00:00-05:00,26884.84343,4017.512441,30.13
2021-02-20 07:30:00-05:00,25205.3951,4698.446753,30.13
2021-02-20 07:45:00-05:00,25605.76644,3764.586162,30.9
2021-02-20 08:00:00-05:00,24718.23258,3815.26227,32.13
2021-02-20 08:15:00-05:00,23787.97467,4358.763073,33.12
2021-02-20 09:30:00-05:00,23033.96614,6473.5497,33.85
2021-02-20 09:45:00-05:00,24717.18624,5392.999751,36.97
2021-02-20 10:00:00-05:00,22412.56532,4770.28788,36.97
2021-02-20 10:15:00-05:00,24060.15434,4282.9236,38.62
2021-02-20 10:30:00-05:00,23138.78633,4593.610551,37.92
2021-02-20 10:45:00-05:00,22797.10791,3960.011877,36.73
2021-02-20 12:45:00-05:00,22648.3531,3371.195,34.83
2021-02-20 13:00:00-05:00,24573.84916,3180.579129,34.09
2021-02-20 13:15:00-05:00,22716.33314,3231.7083,35.06
2021-02-20 13:30:00-05:00,22240.71335,3026.743259,35.06
2021-02-20 13:45:00-05:00,23219.11675,2810.204116,35.78
2021-02-20 14:00:00-05:00,22091.05216,3739.246856,37.92
2021-02-20 14:15:00-05:00,22848.77,3610.5109,39.09
2021-02-20 15:15:00-05:00,22549.03586,3506.81531,36.27
2021-02-20 15:30:00-05:00,22468.52255,3535.4507,35.29
2021-02-20 16:15:00-05:00,22648.3531,3511.931499,34.57
2021-02-20 17:00:00-05:00,22424.03959,5514.005678,32.13
2021-02-20 20:15:00-05:00,23618.92078,6339.526467,30.4
